CONTEXT,SENTENCE,GENDER of REFERENT,BENCHMARK TRANSLATION,DEEPL TRANSLATION,REF2,CORRESPONDENCE,DEEPL TRANSLATION W/CONTEXT,REF3,CORRESPONDENCE
"Another band Silenoz, or Ed Damnator as he was called, played rhythm guitar and occasional bass in was the Norwegian thrash metal band, Nocturnal Breed. <sep> ",Before becoming a musician Silenoz used to work in a kindergarten.,M,Prima di diventare un musicista Silenoz lavorava in un asilo.,"Prima di diventare musicista, Silenoz lavorava in un asilo.",N/D,A,"Un altro gruppo in cui Silenoz, o Ed Damnator, come veniva chiamato, suonava la chitarra ritmica e occasionalmente il basso, era la band thrash metal norvegese Nocturnal Breed. <sep> Prima di diventare musicista, Silenoz lavorava in un asilo.",N/D,A
"Leach was born in Ballarat, Victoria and educated at Creswick Grammar School (where he was dux), Melbourne Training College (1890) and the University of Melbourne, where he graduated B.Sc. in 1904, M.Sc. in 1906 and in 1912 obtained his doctorate for research in ornithology. <sep> ",Leach was a regular writer and broadcaster on natural history subjects and introduced it into the school curriculum.,M,Leach era un normale scrittore e giornalista riguardo temi di storia naturale e li introdusse nel curriculum scolastico.,"Leach ha scritto e trasmesso regolarmente argomenti di storia naturale, introducendoli nei programmi scolastici.",N/D,A,"Leach nacque a Ballarat, nello stato di Victoria, e fu educato alla Creswick Grammar School (dove fu dux), al Melbourne Training College (1890) e all'Università di Melbourne, dove si laureò in B.Sc. nel 1904, in M.Sc. nel 1906 e nel 1912 ottenne il dottorato di ricerca in ornitologia. <Leach fu un assiduo scrittore e divulgatore di argomenti di storia naturale e li introdusse nei programmi scolastici.",M,Y
"The initial operation, John's successful post-surgery career, and the relationship between the two men is the subject of a 2013 ESPN 30 for 30 documentary. <sep> ",The risk of injury to the throwing athlete's UCL is thought to be extremely high as the amount of stress through this structure approaches its ultimate tensile strength during a hard throw.,M,"Il rischio di lesioni al legamento collaterale ulnare per un lanciatore è considerato molto alto, dato che lo stress inflitto alla zona si avvicina al punto di rottura soprattutto nel caso di lanci particolarmente forti.","Si ritiene che il rischio di lesioni all'UCL dell'atleta di lancio sia estremamente elevato, poiché la quantità di stress che attraversa questa struttura si avvicina alla sua resistenza alla trazione finale durante un lancio intenso.",N/D,A,"L'operazione iniziale, la carriera di successo di John dopo l'intervento e il rapporto tra i due uomini sono stati oggetto di un documentario ESPN 30 for 30 del 2013. <sep> Si ritiene che il rischio di lesioni all'UCL dell'atleta di lancio sia estremamente elevato, in quanto la quantità di sollecitazioni che attraversa questa struttura si avvicina alla sua resistenza massima alla trazione durante un lancio intenso.",N/D,A
As a consultant he advised partners in the European Processor Initiative. <sep> ,"From 2019, Braam has been a Visiting Professor of Physics at Oxford University.",M,"Dal 2019, Braam divenne un professore di fisica in visita alla Oxford University.","Dal 2019, Braam è Visiting Professor di Fisica all'Università di Oxford.",N/D,A,Come consulente ha assistito i partner della European Processor Initiative. <Dal 2019 Braam è Visiting Professor di Fisica all'Università di Oxford.,N/D,A
"He is the first Arab to be admitted to the fashion industry's governing body, Chambre Syndicale de la Haute Couture. <sep> ",Saab appeared as a judge on Project Runway: Middle East in 2016.,M,"Nel 2016, Saab è apparso in qualità di giudice in Project Runway: Middle East.",Saab ha partecipato come giudice a Project Runway: Middle East nel 2016.,N/D,A,"È il primo arabo ad essere stato ammesso nell'organo di governo dell'industria della moda, la Chambre Syndicale de la Haute Couture. <sep> Saab ha partecipato come giudice a Project Runway: Middle East nel 2016.",N/D,A
"During the second world war Caulfield's family returned to Bolton in 1945, where his parents were born, to work at the De Havilland factory. <sep> ","Leaving Acton Secondary Modern at the age of 15, Caulfield secured a position as a filing clerk at Crosse & Blackwell and later transferred to the design studio, working on food display and carrying out menial tasks.",M,"Lasciando Acton Secondary Modern a 15 anni, Caulfield si assicurò una posizione come addetto agli archivi presso la Crosse & Blackwell e successivamente fu trasferito nello studio di design, lavorando sull'esposizione del cibo e facendo manzioni da servo.","Lasciata la Acton Secondary Modern all'età di 15 anni, Caulfield si assicurò un posto come archivista presso la Crosse & Blackwell e in seguito si trasferì nello studio di design, occupandosi di espositori per alimenti e svolgendo mansioni umili.",N/D,A,"Durante la seconda guerra mondiale la famiglia di Caulfield tornò a Bolton nel 1945, dove erano nati i suoi genitori, per lavorare alla fabbrica De Havilland. <sep> Lasciata la Acton Secondary Modern all'età di 15 anni, Caulfield si assicurò un posto come archivista presso la Crosse & Blackwell e in seguito si trasferì nello studio di design, lavorando all'esposizione degli alimenti e svolgendo mansioni umili.",N/D,A
She attended North Ealing Primary School and Ealing County Grammar School for Girls. <sep> ,"While attending the Guildhall School, Blackman worked as a clerical assistant for the Home Office.",F,"Mentre frequentava la Guildhall School, Blackman lavorò come impiegata al Ministero degli Interni.","Mentre frequentava la Guildhall School, Blackman ha lavorato come assistente d'ufficio per il Ministero degli Interni.",N/D,A,"Ha frequentato la North Ealing Primary School e la Ealing County Grammar School for Girls. <Mentre frequentava la Guildhall School, Blackman ha lavorato come assistente d'ufficio per il Ministero degli Interni.",N/D,A
"Accordingly, the Gardners received her at an appropriate age for research into language development. <sep> ",There was always a researcher or assistant in attendance during Washoe's waking hours.,F,Washoe era affiancata tutto il giorno da un ricercatore o un assistente.,Durante le ore di veglia di Washoe era sempre presente un ricercatore o un assistente.,N/D,A,"Di conseguenza, i Gardner la ricevettero in un'età appropriata per la ricerca sullo sviluppo del linguaggio. <Durante le ore di veglia di Washoe era sempre presente un ricercatore o un assistente.",N/D,A
"Mudge missed much of the 2005 season, first recuperating from an operation to rehabilitate a damaged knee which left her on crutches, and then succumbing to a bout of plantar fasciitis between May and July. <sep> ","I was running on the bare bone of my femur, so the surgeon drilled a lot of holes, which stimulates scar tissue, and eventually, I could run again.",F,"Praticamente non c'era più niente tra il femore e il ginocchio, così il chirurgo ha praticato diversi fori per stimolare la formazione di tessuto cicatriziale, e alla fine sono tornata a correre.","Stavo correndo sull'osso nudo del femore, quindi il chirurgo mi ha fatto molti buchi, che stimolano il tessuto cicatriziale, e alla fine ho potuto correre di nuovo.",N/D,A,"Mudge ha saltato gran parte della stagione 2005, prima per recuperare un'operazione di riabilitazione del ginocchio danneggiato che l'ha lasciata con le stampelle, poi per un attacco di fascite plantare tra maggio e luglio. <sep> Correvo sull'osso nudo del femore, quindi il chirurgo mi ha fatto un sacco di buchi, che stimolano il tessuto cicatriziale, e alla fine sono riuscita a correre di nuovo.",F,Y
She then moved on to Simon Fraser University where she graduated with her doctorate in educational psychology and the Dean's Medal for a 4.33 cumulative grade point average. <sep> ,"While a doctoral student, Muis served on the Provincial Degree Program Review Committee and served as a research assistant.",F,"Durante il periodo come dottoranda, Muis lavorò per il Provincial Degree Program Review Committee e come assistente di ricerca.","Durante il dottorato, Muis ha fatto parte del Comitato di revisione del programma di laurea provinciale e ha lavorato come assistente di ricerca.",N/D,A,"Si è poi trasferita alla Simon Fraser University dove ha conseguito il dottorato in psicologia dell'educazione e la medaglia del decano per la media cumulativa di 4,33 punti. <Durante il dottorato, Muis ha fatto parte del Comitato di revisione del programma di laurea provinciale e ha lavorato come assistente di ricerca.",N/D,A
"After a year of training, she worked in mission control as a spacecraft communicator (CAPCOM). <sep> ",Hire flew as Mission Specialist-2 on STS-90 Neurolab (1998) and logged over 381 hours in space.,F,Hire è stata specialista di missione #2 sulla STS-90 (1998) e ha all'attivo più di 381 ore in orbita.,Hire ha volato come Mission Specialist-2 su STS-90 Neurolab (1998) e ha registrato oltre 381 ore nello spazio.,N/D,A,"Dopo un anno di addestramento, ha lavorato al controllo missione come comunicatore di veicoli spaziali (CAPCOM). <sep> Hire ha volato come Mission Specialist-2 su STS-90 Neurolab (1998) e ha registrato oltre 381 ore nello spazio.",N/D,A
The women's 4 × 160 metres relay event at the 1966 European Indoor Games was held on 27 March in Dortmund. <sep> ,Each athlete ran one lap of the 160 metres track.,F,"Ciascuna atleta percorreva un giro completo della pista, lunga 160 metri.",Ogni atleta correva un giro della pista di 160 metri.,N/D,A,La staffetta femminile 4 × 160 metri ai Giochi europei indoor del 1966 si svolse il 27 marzo a Dortmund. <Ogni atleta percorse un giro di pista di 160 metri.,N/D,A
MacDonald was crowned as the Queen of the Movies in 1939 with Tyrone Power as her king. <sep> ,MacDonald was awarded an honorary doctor of music degree from Ithaca College in 1956.,F,MacDonald fu insignita di una laurea in musica ad honorem dall'Ithaca College nel 1956.,MacDonald ha ricevuto una laurea honoris causa in musica dall'Ithaca College nel 1956.,N/D,A,MacDonald fu incoronata regina del cinema nel 1939 con Tyrone Power come re. <Nel 1956 MacDonald ricevette una laurea honoris causa in musica dall'Ithaca College.,N/D,A
"From 1981 to 1982, she worked for 2WS Radio and at 2GB Radio from 1982 to 1983. <sep> ",Attard worked on ABC Radio News from 1983 to 1985 and reporter on ABC Radio programs 'The World Today' and 'PM' from 1985 to 1988.,F,Attard ha lavorato per ABC Radio News dal 1983 al 1985 ed è stata reporter dei programmi ABC Radio 'The World Today' e 'PM' dal 1985 al 1988.,"Attard ha lavorato per ABC Radio News dal 1983 al 1985 e come reporter per i programmi ABC Radio ""The World Today"" e ""PM"" dal 1985 al 1988.",N/D,A,"Dal 1981 al 1982 ha lavorato per 2WS Radio e per 2GB Radio dal 1982 al 1983. <Attard ha lavorato per ABC Radio News dal 1983 al 1985 e come reporter per i programmi ABC Radio ""The World Today"" e ""PM"" dal 1985 al 1988.",N/D,A
The Japanese high court upheld the lower court ruling in favor of Itō ordering Yamaguchi to pay 3.3 million yen to her. <sep> ,The presiding judge concluded that Yamaguchi began sexual intercourse with an unconscious Itō.,F,Il giudice che presiedeva la corte stabilì che Yamaguchi aveva iniziato un rapporto sessuale con Itō mentre quest'ultima era priva di sensi.,Il giudice ha concluso che Yamaguchi ha iniziato un rapporto sessuale mentre Itō non era cosciente.,N/D,A,"L'Alta Corte giapponese ha confermato la sentenza del tribunale di primo grado a favore di Itō, ordinando a Yamaguchi di pagarle 3,3 milioni di yen. <sep> Il giudice presiedente ha concluso che Yamaguchi ha iniziato un rapporto sessuale con una Itō inconsapevole.",F,Y
