CONTEXT,SENTENCE,GENDER of REFERENT,BENCHMARK TRANSLATION,GOOGLE TRANSLATION,REF2,CORRESPONDENCE,GOOGLE TRANSLATION W/CONTEXT,REF3,CORRESPONDENCE,,LINK ORIGINALI
Podhoretz served as Commentary magazine's Editor-in-Chief from 1960 (when he replaced Elliot E. Cohen) until his retirement in 1995. <sep> ,Podhoretz remains Commentary's Editor-at-Large.,M,Podhoretz rimane redattore capo di Commentary.,Podhoretz rimane Editor-at-Large di Commentary.,N/D,A,Podhoretz è stato redattore capo della rivista Commentary dal 1960 (quando ha sostituito Elliot E. Cohen) fino al suo ritiro nel 1995. <sep> Podhoretz rimane il redattore generale di Commentary.,M,Y,,
As a consultant he advised partners in the European Processor Initiative. <sep> ,"From 2019, Braam has been a Visiting Professor of Physics at Oxford University.",M,"Dal 2019, Braam divenne un professore di fisica in visita alla Oxford University.","Dal 2019, Braam è Visiting Professor of Physics presso l'Università di Oxford.",N/D,A,"In qualità di consulente ha fornito consulenza ai partner dell'iniziativa europea per i processori. <sep> Dal 2019, Braam è Visiting Professor of Physics presso l'Università di Oxford.",N/D,A,,
"Accordingly, the Gardners received her at an appropriate age for research into language development. <sep> ",There was always a researcher or assistant in attendance during Washoe's waking hours.,F,Washoe era affiancata tutto il giorno da un ricercatore o un assistente.,C'era sempre un ricercatore o un assistente presente durante le ore di veglia di Washoe.,N/D,A,"Di conseguenza, i Gardner la accolsero a un'età appropriata per la ricerca sullo sviluppo del linguaggio. <sep> C'era sempre un ricercatore o un assistente presente durante le ore di veglia di Washoe.",N/D,A,,
"Kulkarni was born in Bijapur, Karnataka and her parents moved to Australia in 1961 when she was three years old. <sep> ",Kulkarni worked as a doctor specialising in accident and emergency medicine before becoming a psychiatrist.,F,"Kulkarni ha lavorato come medico, specializzandosi in medicina d'emergenza-urgenza, prima di diventare una psichiatra.",Kulkarni ha lavorato come medico specializzato in medicina degli incidenti e d'urgenza prima di diventare psichiatra.,N/D,A,"Kulkarni è nata a Bijapur, Karnataka ei suoi genitori si sono trasferiti in Australia nel 1961 quando aveva tre anni. <sep> Kulkarni ha lavorato come medico specializzato in medicina d'urgenza prima di diventare psichiatra.",N/D,A,,
"Didrikson's first job after high school was as a secretary for the Employers' Casualty Insurance Company of Dallas, though she was employed only in order to play basketball as an amateur on the company's industrial team, the Golden Cyclones. <sep> ","Despite leading the team to an AAU Basketball Championship in 1931, Didrikson had first achieved wider attention as a track and field athlete.",F,"Pur avendo portato la squadra a vincere il campionato di basket AAU nel 1931, Didrikson era già famosa come esponente dell'atletica leggera.","Nonostante avesse guidato la squadra a un campionato di basket AAU nel 1931, Didrikson aveva ottenuto per la prima volta un'attenzione più ampia come atleta di atletica leggera.",N/D,A,"Il primo lavoro di Didrikson dopo il liceo è stato come segretaria per la Employers' Casualty Insurance Company di Dallas, sebbene fosse impiegata solo per giocare a basket come dilettante nella squadra industriale della compagnia, i Golden Cyclones. <sep> Nonostante abbia guidato la squadra a un campionato di pallacanestro AAU nel 1931, Didrikson aveva inizialmente ottenuto una maggiore attenzione come atleta di atletica leggera.",N/D,A,,
"Mudge missed much of the 2005 season, first recuperating from an operation to rehabilitate a damaged knee which left her on crutches, and then succumbing to a bout of plantar fasciitis between May and July. <sep> ","I was running on the bare bone of my femur, so the surgeon drilled a lot of holes, which stimulates scar tissue, and eventually, I could run again.",F,"Praticamente non c'era più niente tra il femore e il ginocchio, così il chirurgo ha praticato diversi fori per stimolare la formazione di tessuto cicatriziale, e alla fine sono tornata a correre.","Stavo correndo sull'osso nudo del mio femore, quindi il chirurgo ha praticato molti fori, che stimolano il tessuto cicatriziale, e alla fine ho potuto correre di nuovo.",N/D,A,"Mudge ha perso gran parte della stagione 2005, prima riprendendosi da un'operazione per riabilitare un ginocchio danneggiato che l'ha lasciata con le stampelle, e poi soccombendo a un attacco di fascite plantare tra maggio e luglio. <sep> Stavo correndo sull'osso nudo del mio femore, quindi il chirurgo ha praticato molti fori, che stimolano il tessuto cicatriziale, e alla fine sono riuscito a correre di nuovo.",M,N,,
"After a year of training, she worked in mission control as a spacecraft communicator (CAPCOM). <sep> ",Hire flew as Mission Specialist-2 on STS-90 Neurolab (1998) and logged over 381 hours in space.,F,Hire è stata specialista di missione #2 sulla STS-90 (1998) e ha all'attivo più di 381 ore in orbita.,Hire ha volato come Mission Specialist-2 su STS-90 Neurolab (1998) e ha registrato oltre 381 ore nello spazio.,N/D,A,"Dopo un anno di addestramento, ha lavorato nel controllo della missione come comunicatore di veicoli spaziali (CAPCOM). <sep> Hire ha volato come Mission Specialist-2 su STS-90 Neurolab (1998) e ha trascorso oltre 381 ore nello spazio.",N/D,A,,
The women's 4 × 160 metres relay event at the 1966 European Indoor Games was held on 27 March in Dortmund. <sep> ,Each athlete ran one lap of the 160 metres track.,F,"Ciascuna atleta percorreva un giro completo della pista, lunga 160 metri.",Ogni atleta ha percorso un giro della pista di 160 metri.,N/D,A,La staffetta femminile 4 × 160 metri ai Giochi Europei Indoor del 1966 si è svolta il 27 marzo a Dortmund. <sep> Ogni atleta ha percorso un giro della pista di 160 metri.,N/D,A,,
MacDonald was crowned as the Queen of the Movies in 1939 with Tyrone Power as her king. <sep> ,MacDonald was awarded an honorary doctor of music degree from Ithaca College in 1956.,F,MacDonald fu insignita di una laurea in musica ad honorem dall'Ithaca College nel 1956.,MacDonald ha ricevuto una laurea honoris causa in musica dall'Ithaca College nel 1956.,N/D,A,MacDonald è stata incoronata come la regina dei film nel 1939 con Tyrone Power come suo re. <sep> MacDonald ha ricevuto una laurea honoris causa in musica dall'Ithaca College nel 1956.,N/D,A,,
"She is best known for her still lives and landscapes, painted alla prima (in one sitting), in an energized, loose, wet-into-wet style. <sep> ","As a plein aire landscape painter, Lafuente's primary areas of focus are cityscapes and seascapes.",F,"Pittrice di paesaggi en plein air, i principali soggetti di Lafuente sono i paesaggi cittadini e marittimi.","In qualità di paesaggista plein aire, le principali aree di interesse di Lafuente sono i paesaggi urbani e marini.",N/D,A,"È meglio conosciuta per le sue nature morte e i suoi paesaggi, dipinti alla prima (in una sola seduta), in uno stile energico, sciolto, bagnato nel bagnato. <sep> Come paesaggista plein aire, le principali aree di interesse di Lafuente sono i paesaggi urbani e marini.",N/D,A,,
"From 1981 to 1982, she worked for 2WS Radio and at 2GB Radio from 1982 to 1983. <sep> ",Attard worked on ABC Radio News from 1983 to 1985 and reporter on ABC Radio programs 'The World Today' and 'PM' from 1985 to 1988.,F,Attard ha lavorato per ABC Radio News dal 1983 al 1985 ed è stata repoter dei programmi ABC Radio 'The World Today' e 'PM' dal 1985 al 1988.,"Attard ha lavorato su ABC Radio News dal 1983 al 1985 e reporter sui programmi della ABC Radio ""The World Today"" e ""PM"" dal 1985 al 1988.",N/D,A,"Dal 1981 al 1982 ha lavorato per 2WS Radio e per 2GB Radio dal 1982 al 1983. <sep> Attard ha lavorato per ABC Radio News dal 1983 al 1985 e reporter per i programmi della ABC Radio ""The World Today"" e ""PM"" dal 1985 al 1988.",N/D,A,,
