CONTESTO,FRASE,REF,ORIGINALE,TRADUZIONE AUTOMATICA GT,REF2,ACCORDO,TRADUZIONE CON CONTESTO,REF2,ACCORDO
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,conteggio degli ACCORDI NO da origne F a output M ($),0,,,,,,,
,conteggio degli ACCORDI SI da origine F a output F (-),0,,,,,,,
,conteggio degli ACCORDI A da origine F a output N/D (/),0,,,,,,,
