CONTESTO,FRASE,REF,ORIGINALE,TRADUZIONE AUTOMATICA GT,REF2,ACCORDO,,DATASET ORIGINALI
Ørsted himself recounted how he influenced Zeise through conversations and encouraged him when he expressed the desire to take the university entrance examination (Examen artium). <sep> ,Zeise became a university student in 1809.,M,Zeise wurde 1809 Student an der Universität.,Zeise wurde 1809 Universitätsstudent.,M,Y,,
"Reviewing X-Men: Evolution's third season, Filip Vukcevic of IGN was mixed in his analysis, deeming it inferior to X-Men: The Animated Series and concluding, Evolution ... will interest long-time X-fans, but the fluffy stories and underutilized character personalities ... will cause discerning viewers to zone out, suffering from its attempt to cram everyone in. <sep> ","The author also panned the series' average voice acting, feeling that Magneto, Wolverine and Beast were miscast.",M,"Der Autor kritisierte außerdem die durchschnittlichen Synchronsprecher und fand, dass Magneto, Wolverine und Beast falsch besetzt waren.","Der Autor nahm auch die durchschnittliche Sprachausgabe der Serie unter die Lupe, da er das Gefühl hatte, dass Magneto, Wolverine und Beast eine Fehlbesetzung waren.",M,Y,,
"He coloured his figures with strong and bright tint and frequent interchanges of red and green, blue and yellow. <sep> ","The combination of the sculptural and the pictorial bears witness of the artist's complexity and expressiveness with additional help of naturally blooming forms, and nearly fauvist, wild tint.",M,"Die Kombination von Bildhauerei und Malerei zeugt von der Vielschichtigkeit und Ausdruckskraft des Künstlers, das wird außerdem durch natürlich wirkende Formen und einer beinahe fauvistischen wilden Farbgestaltung unterstrichen.","Die Verbindung von Skulpturalem und Bildhaftem zeugt von der Vielschichtigkeit und Ausdruckskraft des Künstlers, ergänzt durch natürlich blühende Formen und fast fauvistisch-wilde Farbgebung.",M,Y,,
"He then went to Sydney and then Melbourne holding exhibitions of his work, and died of cancer in Melbourne on 3 January 1939. <sep> ","Evergood was a capable artist, who mostly painted landscapes in oil with affinities to the post impressionists.",M,"Evergood war ein fähiger Künstler, der meistens Landschaften mit Öl malte, beeinflusst von den Post-Impressionisten.","Evergood war ein fähiger Künstler, der hauptsächlich Landschaften in Öl mit Affinitäten zu den Postimpressionisten malte.",M,Y,,
"Oberg continued to spend much of his time in the United States, teaching in university systems in both Missouri and Montana, and became a U.S. citizen in 1944. <sep> ","Along with teaching in the United States, Oberg spent time both as a student and teacher in foreign countries.",M,Neben seiner Lehrtäitgkeit in den Vereinigten Staaten verbrachte Oberg sowohl als Student als auch als Lehrer Zeit im Ausland.,Neben dem Unterrichten in den Vereinigten Staaten verbrachte Oberg sowohl als Student als auch als Lehrer Zeit im Ausland.,M,Y,,
"Carlucci is asked for input, and he mumbles that the US government does not involve itself in the internal affairs of other countries. <sep> ","At the time, Carlucci was the second secretary of the US Embassy in Congo.",M,Damals war Carlucci zweiter Sekretär der US-Botschaft im Kongo.,Carlucci war damals der zweite Sekretär der US-Botschaft im Kongo.,M,Y,,
"In 1978, he became a Presidential elector, a position he also held in 1982 and 1998. <sep> ","From 1979 to 1980, Aho was Political Secretary to the Ministry of Foreign Affairs.",M,Von 1979 bis 1980 war Aho politischer Sekretär des Außenministeriums.,Von 1979 bis 1980 war Aho Politischer Sekretär im Außenministerium.,M,Y,,
"By incorporating living beings as subjects in his work, Greiner questions the idea of art as man-made. <sep> ",Microorganisms make the outcome of the artwork unpredictable and this loss of control opposes the traditionally executive role of the artist.,M,"Durch Mikroorganismen wird das Ergebnis des Kunstwerks unvorhersehbar, wobei dieser Kontrollverlust im Widerspruch zur typischerweise ausführenden Rolle des Künstlers steht.","Mikroorganismen machen das Ergebnis des Kunstwerks unvorhersehbar, und dieser Kontrollverlust steht der traditionell ausführenden Rolle des Künstlers entgegen.",M,Y,,
Partha Mitter describes him as the only Indian painter before the 1940s who made use of the language and syntax of Cubism in his painting. <sep> ,"From 1925 onwards, the artist developed a complex post-cubist style.",M,Ab 1925 entwickelte der Künstler einen komplexen post-kubistischen Stil.,Ab 1925 entwickelte der Künstler einen komplexen postkubistischen Stil.,M,Y,,
"In 1849, he was appointed to a teaching post in Ajaccio (Corsica), then in 1853 moved on to the lycée in Avignon. <sep> ","Fabre was a popular teacher, physicist, chemist and botanist.",M,"Fabre war ein angesehener Lehrer, Physiker, Chemiker und Botaniker.","Fabre war ein beliebter Lehrer, Physiker, Chemiker und Botaniker.",M,Y,,
"Through this piece and his other performance works, Brus hoped to reveal the still fascist essence of the nation. <sep> ",Brus also was editor of the Schastrommel (author's edition) from 1969 on.,M,Brus war ab 1969 auch Herausgeber der Schastrommel (Selbstverlag).,Brus war ab 1969 auch Herausgeber der Schastrommel (Autorenausgabe).,M,Y,,
"A video of a student from Duncanville, 18-year-old sophomore Jeff Bliss scolding his social studies/history teacher, went viral in May 2013, and was picked up by media. <sep> ",CBS local news quoted the student:,M,Die Lokalnachrichten von CBS zitierten den Schüler folgendermaßen:,Die Lokalnachrichten von CBS zitierten den Studenten:,M,Y,,
"The Polish writer Bolesław Prus, for the sake of making a point, introduces into chapter 63 of his historical novel Pharaoh, set in the ancient Egypt of 1087–1085 BCE, a substance that behaves like gunpowder. <sep> ","Another apparent anatopism introduced by the author (in chapter 45) is an object that resembles a telescope, that may also be an anachronism.",M,"Ein weiterer offensichtlicher Anatopismus, den der Autor (in Kapitel 45) einführt, ist ein Objekt, das einem Teleskop ähnelt, das ebenfalls ein Anachronismus sein könnte.","Ein weiterer offensichtlicher Anatopismus, den der Autor (in Kapitel 45) eingeführt hat, ist ein Objekt, das einem Teleskop ähnelt, das auch ein Anachronismus sein kann.",M,Y,,
"There he met Lord Soulbury who had been appointed to lead a Commission to Ceylon, pressing his case for self-rule. <sep> ",Goonetilleke became an unofficial secretary to the commission and significantly influenced it.,M,Goonetilleke wurde inoffizieller Sekretär der Kommission und hat es maßgeblich beeinflusst.,Goonetilleke wurde inoffizieller Sekretär der Kommission und beeinflusste sie maßgeblich.,M,Y,,
"He is currently a visiting professor at King's College London where he works with the Policy Institute at King's, a visiting professor at the Cass Business School, a board member of the Institute for Fiscal Studies and a visiting fellow at Nuffield College, Oxford. <sep> ","Willetts is the author of several books on conservatism, including Why Vote Conservative (1996) and Modern Conservatism (1992), as well as numerous articles.",M,"Willetts ist Autor mehrerer Bücher über Konservatismus, unter anderem Why Vote Conservative (1996) und Modern Conservatism (1992), sowie Verfasser zahlreicher Artikel.","Willetts ist Autor mehrerer Bücher über Konservatismus, darunter Why Vote Conservative (1996) und Modern Conservatism (1992), sowie zahlreicher Artikel.",M,Y,,
There isn't any record of Mr. Hewes ever relinquishing his Quaker membership nor is there any evidence that he was disowned by any Friends Monthly Meeting. <sep> ,"At the beginning of the year 1776, Hewes was appointed as the new Secretary of the Naval Affairs Committee.",M,Anfang 1776 wurde Hewes zum neuen Sekretär des Marineausschusses ernannt.,Zu Beginn des Jahres 1776 wurde Hewes zum neuen Sekretär des Naval Affairs Committee ernannt.,M,Y,,
"In 1957, he went to the United States to study at the University of California, Berkeley, and was a research assistant to Seymour Martin Lipset. <sep> ",Etzioni is the author of over 30 books.,M,Etzioni ist Verfasser von mehr als 30 Büchern.,Etzioni ist Autor von über 30 Büchern.,M,Y,,
"Eventually his father relented, permitting the boy to study music provided he matriculated. <sep> ","By this time, Panufnik was too old to take the piano entrance examination for the Warsaw Conservatory, but succeeded in gaining admission as a percussion student.",M,"Zu diesem Zeitpunkt war Panufnik bereits zu alt, um die Aufnahmeprüfung für das Klavier am Warschauer Konservatorium abzulegen, aber es gelang ihm, als Schlagzeugstudent zugelassen zu werden.","Zu diesem Zeitpunkt war Panufnik zu alt, um die Aufnahmeprüfung für Klavier am Warschauer Konservatorium abzulegen, aber es gelang ihm, als Schlagzeugstudent zugelassen zu werden.",M,Y,,
"He was a staunch defender of Captain Alfred Dreyfus, whom he considered an innocent man. <sep> ",The artist's suspicions were substantiated after one of Dreyfus's accusers broke down under interrogation.,M,"Der Verdacht des Künstlers wurde bestätigt, als einer von Dreyfus' Anklägern während einer Befragung zusammenbrach.","Der Verdacht des Künstlers wurde erhärtet, nachdem einer der Ankläger von Dreyfus im Verhör zusammengebrochen war.",M,Y,,
"The anonymous author recounts the story of their bequest of the lands to the parish to support the annual dole, and goes on to say that despite the antiquity of the events described, he has no doubt as to their authenticity. <sep> ","As with all accounts of the tradition prior to 1790 the author does not mention their alleged birth in 1100, or the name of Chulkhurst; these details first appeared in a broadside published in 1790.",M,"Wie bei allen Berichten über die Tradition von 1790 erwähnt der Autor weder ihre angebliche Geburt im Jahr 1100, noch den Namen Chulkhurst, diese Angaben erschienen erstmals auf einem 1790 veröffentlichten Handzettel.",Wie bei allen Berichten über die Tradition vor 1790 erwähnt der Autor weder ihre angebliche Geburt im Jahr 1100 noch den Namen Chulkhurst; Diese Details erschienen erstmals in einer 1790 veröffentlichten Breitseite.,M,Y,,
"The student confesses he does not know, with the ethical precept, answering with untruth, when one does not know the answer, is wrong. <sep> ",The student asks sage Pippalada the same question.,M,Der Schüler stellte dem weisen Pippalada die gleiche Frage.,Der Schüler stellt dem Weisen Pippalada dieselbe Frage.,M,Y,,
"He began work in the Map Room of the British Museum upon his return from military service in 1945 and in 1950 became the Superintendent, in which post he continued until his retirement in 1967. <sep> ",Skelton served as the Honorary Secretary of the Hakluyt Society from 1946 to 1966.,M,Skelton fungierte als Ehrensekretär der Hakluyt Society von 1946 bis 1966.,Skelton war von 1946 bis 1966 Ehrensekretär der Hakluyt Society.,M,Y,,
"At Eton he developed an interest in ornithology, guided by science master W. <sep> ",Piggy was a genius as a teacher ...,M,Piggy war ein genialer Lehrer.,Piggy war ein Genie als Lehrer ...,M,Y,,
"He sat down, took a couple of rolls, and he had it. <sep> ","The original concept was to paint the picture from edge to edge, with no bleeding, title or artist credit – a concept that went against music industry practice and was immediately vetoed by EMI.",M,"Das ursprüngliche Konzept war so gedacht, das Bild durchgehend zu malen, ohne Beschnitt, Titel oder Name des Künstlers - ein Konzept, dass gegen die gängige Praxis der Musikindustrie verstieß und von EMI direkt abgelehnt wurde.","Das ursprüngliche Konzept bestand darin, das Bild von Rand zu Rand zu malen, ohne Blutungen, Titel oder Künstlernamen – ein Konzept, das gegen die Praxis der Musikindustrie verstieß und von EMI sofort abgelehnt wurde.",M,Y,,
Goncharov used a lot of dialogue within his works. <sep> ,"Therefore, the characters in Oblomov reveal themselves primarily through their own speech, with very limited comments by the author.",M,"Daher offenbaren sich die Figuren in Oblomov vor allem durch ihre eigenen Aussagen, die vom Autor nur begrenzt kommentiert werden.","Daher offenbaren sich die Charaktere in Oblomov hauptsächlich durch ihre eigene Sprache, mit sehr begrenzten Kommentaren des Autors.",M,Y,,
"Because Kravitz was not wearing underpants, his genitals were briefly exposed to the audience. <sep> ","As a designer, Kravitz launched a furniture collection in partnership with CB2 in 2015.",M,Als Designer führte Kravitz im Jahr 2015 gemeinsam mit CB2 eine Möbelkollektion ein.,Als Designer brachte Kravitz 2015 in Partnerschaft mit CB2 eine Möbelkollektion auf den Markt.,M,Y,,
"Camejo was survived by his wife, Morella Camejo; stepdaughter Alexandra Baquero, stepson Victor Baquero, and brothers Antonio and Daniel Camejo and Danny Ratner. <sep> ",Camejo is the author of The SRI Advantage: Why Socially Responsible Investing Has Outperformed Financially.,M,"Camejo ist der Autor von ""The SRI Advantage: Why Socially Responsible Investing Has Outperformed Financially"".",Camejo ist der Autor von The SRI Advantage: Why Socially Responsible Investing Has Outperformance Financially.,M,Y,,
"With no second innings to redeem himself, pressure began to mount on Cook for the fourth Test at Headingley where he anchored himself through half the team before being dismissed half-way through the first innings for only 30, a score which would only be topped by wicket-keeper Matt Prior as England collapsed to Australia's seam attack, bowled out for 102. <sep> ",During the fortnight break Cook was among a quintet of players released into the County Championship to increase their form alongside.,M,"Cook war während der vierzehntägigen Pause einer von fünf Spielern, die für die Bezirksmeisterschaft freigestellt wurden, um ihre Form zusätzlich zu verbessern.","Während der vierzehntägigen Pause gehörte Cook zu einem Quintett von Spielern, die in die County Championship entlassen wurden, um ihre Form nebenbei zu verbessern.",M,Y,,
"He also campaigned for the British government to do their part by preserving a Second World War airfield in its original condition for future generations to see, and for the history of each airfield to be recorded fully and the men and sacrifice never forgotten. <sep> ",The book took 18 months to compile and drew upon the author's knowledge and experience working in airfields and documenting their history.,M,"Die Fertigstellung des Buches dauerte 18 Monate und basiert auf dem, was der Autor an Wissen und Erfahrung, während seiner Arbeit auf den Flugplätzen sammeln konnte, sowie auf seiner Dokumentation ihrer Geschichte.",Die Zusammenstellung des Buches dauerte 18 Monate und stützte sich auf das Wissen und die Erfahrung des Autors bei der Arbeit auf Flugplätzen und der Dokumentation ihrer Geschichte.,M,Y,,
"The G.G. represented the initials of his wife, Gloria Gautraud, whom he had married in 1949. <sep> ",The initials were used so the sex of the author would remain vague.,M,"Die Initialen dienten dazu, das Geschlecht des Verfassers ungeklärt zu lassen.","Die Initialen wurden verwendet, damit das Geschlecht des Autors vage blieb.",M,Y,,
"In the 1950s, Mazniashvili's son, a World War II veteran of the Soviet army, submitted a request for a political rehabilitation of his father, but this was turned down by the authorities. <sep>",Maznashvili is the author of the popular Soldier’s Memoirs.,M,"Maznashvili ist der Autor von ""Soldier's Memoirs"".",Maznashvili ist der Autor der beliebten Soldatenerinnerungen.,M,Y,,
The court in Nykøbing found it proven that Hansen had given her sick and weak patients lethal doses of morphine and diazepam. <sep> ,"At the time of the judgment, the nurse appealed to the national court for a declaration of dismissal.",F,"Zum Zeitpunkt des Urteils legte die Krankenschwester Berufung beim nationalen Gericht ein, um eine Entlassungserklärung zu bewirken.",Zum Zeitpunkt der Urteilsverkündung legte die Krankenschwester beim nationalen Gericht Berufung auf Kündigung ein.,F,Y,,
"As an adolescent, Tanno's responsibilities included caring for her baby sibling. <sep> ","Tanno desired to enter school to become a teacher, but there was not enough money to do so.",F,"Tanno wollte zur Schule gehen, um Lehrerin zu werden, doch das Geld reichte dafür nicht aus.","Tanno wollte in die Schule gehen, um Lehrer zu werden, aber es gab nicht genug Geld dafür.",M,N,,
"Professor Dame Sarah Cowley is a British district nurse and academic, specialising in the field of health visiting. <sep> ",Cowley started a career in Eastbourne as a health visitor and practice teacher.,F,"Cowleys Karriere begann in Eastbourne, wo sie Hausbesuche als Pflegerin machte und Praxen beriet.",Cowley begann eine Karriere in Eastbourne als Gesundheitsbesucher und Praxislehrer.,M,N,,
"According to Moira Ferguson, the history of surnames for this period suggest that her surname was probably derived from the Anglicized French Anjou,. <sep> ","Anger, whose poem on the author appears at the end of the volume, was a relative or spouse.",F,"Anger, deren Gedicht über den Autor am Ende des Bandes zu finden ist, war eine Verwandte oder die Ehefrau.","Zorn, dessen Gedicht über den Autor am Ende des Bandes erscheint, war ein Verwandter oder Ehepartner.",M,N,,
"It is a series of videos and photographs of the artist herself, exploring the theme of gender differences and identity exploration seen through violence and perverse pleasure. <sep> ",The artist's own interpretation of the reason to picture such violence and autoagression is that (...) it might somehow be an aftermath of the works (…) on the concentration camps which were far more political and also dealing with violence.,F,"Die Interpretation der Künstlerin für die Darstellung von Gewalt und Autoaggression lautet, dass ""(...) es eine Art Nachwirkung der Arbeiten (...) über Konzentrationslager sein könnte, die viel politischer waren und sich ebenfalls mit Gewalt auseinandersetzten.""","Der Künstler interpretiert den Grund für die Darstellung solcher Gewalt und Autoaggression so, dass (...) es irgendwie eine Nachwirkung der Arbeiten (...) über die Konzentrationslager sein könnte, die viel politischer waren und sich auch mit Gewalt befassten.",M,N,,
"In July 2007, Cameron promoted her to Shadow Secretary of State for Transport.[citation needed] Following the 2010 general election, the Conservatives, short of an overall majority, formed a coalition government with the Liberal Democrats. <sep> ","This required positions in Cabinet to be awarded to Lib Dem MPs, so Villiers did not become Secretary of State for Transport as might have been expected in the event of a majority Conservative government taking office.",F,"Dies erforderte die Vergabe von Kabinettsposten an Abgeordnete der Liberaldemokraten, wodurch Villiers nicht Verkehrsministerin wurde, wie es bei einer konservativen Mehrheit zu erwarten gewesen wäre.","Dies erforderte die Vergabe von Positionen im Kabinett an Abgeordnete der Lib Dem, sodass Villiers nicht Staatssekretär für Verkehr wurde, wie es im Falle eines Amtsantritts einer mehrheitlich konservativen Regierung hätte erwartet werden können.",M,N,,
The topic of her prize-winning essay was same-sex marriage. <sep> ,"Darville is reported to have worked variously as a graphic designer, property law lecturer, and physical education teacher.",F,"Darville soll unter anderem als Grafikdesignerin, Dozentin für Immobilienrecht und Sportlehrerin gearbeitet haben.","Darville soll auf verschiedene Weise als Grafikdesigner, Dozent für Eigentumsrecht und Sportlehrer gearbeitet haben.",M,N,,
"Fatma Öcalan is the sister of Abdullah Öcalan and Dilek Öcalan, a former parliamentarian of the HDP, is his niece. <sep> ","Öcalan is the author of more than 40 books, four of which were written in prison.",F,"Öcalan ist Autorin von über 40 Büchern, vier davon verfasste sie im Gefängnis.","Öcalan ist Autor von mehr als 40 Büchern, von denen vier im Gefängnis geschrieben wurden.",M,N,,
"The popularity of the Harry Potter series has translated into substantial financial success for Rowling, her publishers, and other Harry Potter related license holders. <sep> ",This success has made Rowling the first and thus far only billionaire author.,F,Dieser Erfolg machte Rowling zur ersten und bisher einzigen Milliardärin als Autorin.,Dieser Erfolg hat Rowling zum ersten und bislang einzigen milliardenschweren Autor gemacht.,M,N,,
"By 1889, she was the secretary of the Central National Society for Women's Suffrage, but this position was given up for an even more congenial one, that of organising secretary, under Lady Henry Somerset, of the British Women's Temperance Association. <sep> ",Balgarnie was the author of A plea for the appointment of police matrons at police stations (1894).,F,Balgarnie war die Autorin von Ein Plädoyer für die Ernennung von Polizeimatronen auf Polizeistationen (1894).,Balgarnie war der Autor von Ein Plädoyer für die Ernennung von Polizeimatronen auf Polizeistationen (1894).,M,N,,
She often uses herself and her family as models. <sep> ,The Canopy Series (1987) draws on experiences from the artist's own family.,F,Die Canopy-Serie geht auf Erfahrungen aus der Familie der Künstlerin zurück.,Die Canopy Series (1987) stützt sich auf Erfahrungen aus der eigenen Familie des Künstlers.,M,N,,
"Dozens of boys decide to join the swimming team, but when they realize that she teaches synchronized swimming (which is generally a women's sport), all but Suzuki and four other boys drop out. <sep> ","The teacher soon takes maternity leave, and for some time the team is on hiatus.",F,"Kurz darauf geht die Lehrerin in Mutterschaftsurlaub, weshalb das Team eine Zeit lang pausieren muss.","Die Lehrerin geht bald in Elternzeit, das Team pausiert für einige Zeit.",F,Y,,
"Both had handled her previous novel, We the Living. <sep> ","According to Peikoff, [Macmillan's] comment was: the author does not understand socialism.",F,"Peikoff zufolge lautete [Macmillans] Kommentar: ""Die Autorin begreift Sozialismus nicht.""",Laut Peikoff lautete [Macmillans] Kommentar: Der Autor versteht den Sozialismus nicht.,M,N,,
"While Dhumavati is generally associated with only inauspicious qualities, her thousand-name hymn relates her positive aspects as well as her negative ones. <sep> ","Dhumavati is described as a great teacher, one who reveals ultimate knowledge of the universe, which is beyond the illusory divisions, like auspicious and inauspicious.",F,"Dhumavati wird als große Lehrerin dargestellt, eine die das ultimative Wissen des Universums offenbart, das jenseits der illusorischen Unterteilung wie verheißungsvoll und unheilvoll liegt.","Dhumavati wird als großer Lehrer beschrieben, einer, der das ultimative Wissen über das Universum offenbart, das jenseits der illusorischen Unterteilungen liegt, wie glückverheißend und ungünstig.",M,N,,
"Andrews was granted a leave of absence from her librarian's job in March 1911, and when she failed to return, Bertha Proctor was permanently appointed to take her place in May. <sep> ","At that time, the librarian's salary was $35 per month.",F,Zu dieser Zeit lag das Gehalt der Bibliothekarin bei 35 Dollar im Monat.,Zu dieser Zeit betrug das Gehalt des Bibliothekars 35 Dollar pro Monat.,M,N,,
"Starting in 2010, she has been associate professor in the division of epidemiology and community health in the School of Public Health at University of Minnesota. <sep> ",Stang is a registered dietitian through the Commission on Dietetic Registration of the American Dietetic Association.,F,Stang ist bei der Commission on Dietetic Registration der American Dietetic Association als Ernährungsberaterin zugelassen.,Stang ist ein registrierter Ernährungsberater bei der Commission on Dietetic Registration der American Dietetic Association.,M,N,,
Professional Industrial Rope Access Services Pte Ltd (PIRAS) agrees to paint the Bridge at a subsidized rate and Michelle Tan agrees to be the project manager Pacita works with Visual Media Works to transform her colorful hand-painted Bridge sketches into detailed computerized workplans for the painters to follow. <sep> ,"As a final touch, the railings are hand painted by the artist with multiple circles",F,Als letzter Schliff sind die Geländer von der Künstlerin handbemalt mit mehreren Kreisen.,Als letzten Schliff werden die Geländer vom Künstler mit mehreren Kreisen handbemalt,M,N,,
"In November 1938 she teamed up with Marie Pappenheim to establish the Cercle Culturel Autrichien (loosely, Austrian cultural circle). <sep>",It was financed from Spiegel's earnings as a gymnastics teacher.,F,Er wurde mit Spiegels Einkünften als Turnlehrerin finanziert.,Finanziert wurde es aus Spiegels Einkünften als Turnlehrer.,M,N,,
The book includes anecdotes about and illustrations of many of her extended family (see Darwin–Wedgwood family). <sep> ,The book is illustrated throughout with wood engravings by the author.,F,Das Buch ist mit Holzstichen der Autorin illustriert.,Das Buch ist durchgehend mit Holzstichen des Autors illustriert.,M,N,,
"In her artworks, the aesthetics are united with the expressive and unfinished «democratic» photography. <sep> ","Each series by the artist is a social and cultural narrative, revealing details of the bohemian lifestyle, family conflicts, personal experiences, which turns into large-scale research, able to move the audience from the emotional maturity to existential.",F,"Jede Serie der Künstlerin ist eine soziale und kulturelle Erzählung, die Einzelheiten über den Lebensstil der Bohème, familiäre Konflikte und persönliche Erfahrungen verrät und sich in eine umfassende Recherche verwandelt, die dem Publikum den Grat von emotionaler Reife bis hin zu Existenziellen zeigt.","Jede Serie des Künstlers ist eine soziale und kulturelle Erzählung, die Details des böhmischen Lebensstils, familiärer Konflikte und persönlicher Erfahrungen enthüllt, die zu einer groß angelegten Recherche werden, die das Publikum von der emotionalen Reife zum Existenziellen bewegen kann.",M,N,,
The lyrics are easier to understand and less cryptic than her previous albums. <sep> ,"Although some themes dear to the artist are addressed in Anamorphosée, sadness and pain are much less present in this album which is more about the spirituality (Buddhism).",F,"Obwohl einiger der Themen, die der Künstlerin am Herzen liegen, in Anamorphosée auftauchen, sind Trauer und Schmerz in diesem Album, das sich mehr mit Spiritualität auseinandersetzt (Buddhismus), weniger vertreten.","Obwohl einige Themen, die dem Künstler am Herzen liegen, in Anamorphosée angesprochen werden, sind Traurigkeit und Schmerz in diesem Album viel weniger präsent, da es mehr um die Spiritualität (Buddhismus) geht.",M,N,,
She continued co-editing the journal until February 1927. <sep> ,Gollock was also Secretary of the Board of Study for the Preparation of Missionaries.,F,Gollock war außerdem Ministerin des Studienausschusses für die Ausbildung von Missionaren.,Gollock war auch Sekretär des Studienausschusses für die Vorbereitung von Missionaren.,M,N,,
